,업무,공고번호-차수,분류,공고명,URL주소,공고기관,수요기관,계약방법,입력일시,공동수급,투찰여부
11,용역,20190339032-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190339032&bidseq=00&releaseYn=Y&taskClCd=5 ,2019년 찾아가는 어린이 안전체험캠프 용역,서울특별시 서대문구,서울특별시 서대문구,수의(총액)소액수의,2019/03/22 18:25(2019/03/28 10:20),,마감
12,용역,20190338139-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190338139&bidseq=00&releaseYn=Y&taskClCd=5 ,2019학년도 2학년 체인지업캠퍼스(구경기영어마을파주캠프) 차량임차 소액수의 견적제출 공고,경기도교육청 경기도화성오산교육지원청 안화중학교,경기도교육청 경기도화성오산교육지원청 안화중학교,수의(총액)소액수의,2019/03/22 14:15(2019/03/29 12:00),,마감
13,용역,20190335134-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190335134&bidseq=00&releaseYn=Y&taskClCd=5 ,19년 농업계학교 영농 창취업 실전캠프 운영 용역,농림수산식품교육문화정보원,농림수산식품교육문화정보원,일반(총액)협상에의한계약,2019/03/21 18:12(2019/04/02 11:00),마감,마감
14,용역,20190335803-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190335803&bidseq=00&releaseYn=Y&taskClCd=5 ,진로캠프 프로젝트 위탁 용역 견적 안내 공고,대구광역시교육청 영남공업고등학교,대구광역시교육청 영남공업고등학교,수의(총액)소액수의,2019/03/21 14:12(2019/03/26 14:00),,마감
15,용역,20190332668-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190332668&bidseq=00&releaseYn=Y&taskClCd=1 ,2019 대입상담캠프 기획 및 운영 대행업체 선정,조달청 부산지방조달청,부산광역시교육청,제한(총액)협상에의한계약,2019/03/20 20:34(2019/04/11 12:00),마감,마감
16,용역,20190333951-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190333951&bidseq=00&releaseYn=Y&taskClCd=5 ,2019년 초등 6학년 전환기 학습캠프 교육위탁 용역,인천광역시교육청 인천광역시남부교육지원청,인천광역시교육청 인천광역시남부교육지원청,제한(총액)규격가격동시,2019/03/20 17:24(2019/04/01 11:00),,마감
17,용역,20190330950-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190330950&bidseq=00&releaseYn=Y&taskClCd=1 ,‘2019 차세대동포 한국어 집중캠프’ 기획 및 운영,조달청,재외동포재단,일반(총액)협상에의한계약,2019/03/20 15:50(2019/04/09 10:00),마감,마감
18,용역,20190333231-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190333231&bidseq=00&releaseYn=Y&taskClCd=5 ,2019 스마트미디어X 캠프 운영,한국방송통신전파진흥원,한국방송통신전파진흥원,제한(총액)협상에의한계약,2019/03/20 14:34(2019/04/01 14:00),마감,마감
19,용역,20190325820-01,취소,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190325820&bidseq=01&releaseYn=Y&taskClCd=1 ,2019 대입상담캠프 기획 및 운영 대행업체 선정,조달청 부산지방조달청,부산광역시교육청,제한(총액)협상에의한계약,2019/03/20 09:58(2019/04/09 12:00),,
20,용역,20190331238-00,재입찰,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190331238&bidseq=00&releaseYn=Y&taskClCd=5 ,2019 전봉준 캠프 위탁급식 용역 소액수의 견적제출 안내 재공고,전라북도교육청 전라북도정읍교육지원청,전라북도교육청 전라북도정읍교육지원청,수의(총액)소액수의,2019/03/19 17:26(2019/03/27 16:00),,마감
